GROUP;Biom C/ind [µg/#];µ C per/ind [mg/#/h];µ C per C biom [mg/mg/h];g_C_d;g_C_ind
Flagellate;0.00023;5.66E-09;0.0246;1.36E-10;2.30E-10
Flagellate;0.000126;3.03E-09;0.0241;7.27E-11;1.26E-10
Flagellate;0.0226;4.74E-07;0.021;1.14E-08;2.26E-08
Flagellate;3.26E-06;3.69E-10;0.113;8.86E-12;3.26E-12
Flagellate;3.26E-06;6.09E-10;0.187;1.46E-11;3.26E-12
Flagellate;3.26E-06;5.91E-10;0.181;1.42E-11;3.26E-12
Flagellate;3.26E-06;5.71E-10;0.175;1.37E-11;3.26E-12
Flagellate;3.26E-06;3.25E-10;0.0996;7.80E-12;3.26E-12
Flagellate;0.000211;4.29E-09;0.0204;1.03E-10;2.11E-10
Flagellate;0.00288;4.09E-08;0.0142;9.82E-10;2.88E-09
Flagellate;0.13;7.51E-07;0.00577;1.80E-08;1.30E-07
Flagellate;0.00638;1.68E-07;0.0263;4.03E-09;6.38E-09
Flagellate;0.0055;8.21E-08;0.0149;1.97E-09;5.50E-09
Flagellate;1.65E-05;2.47E-09;0.149;5.93E-11;1.65E-11
Flagellate;7.70E-06;2.39E-10;0.0311;5.74E-12;7.70E-12
Flagellate;8.80E-06;1.06E-09;0.12;2.54E-11;8.80E-12
Flagellate;4.40E-06;4.47E-10;0.102;1.07E-11;4.40E-12
Flagellate;4.66E-05;5.85E-09;0.126;1.40E-10;4.66E-11
Flagellate;4.18E-05;5.75E-09;0.138;1.38E-10;4.18E-11
Flagellate;1.44E-05;6.83E-10;0.0475;1.64E-11;1.44E-11
Flagellate;4.40E-06;2.55E-10;0.058;6.12E-12;4.40E-12
Flagellate;1.83E-05;3.82E-10;0.0209;9.17E-12;1.83E-11
Flagellate;0.00041;9.83E-09;0.024;2.36E-10;4.10E-10
Flagellate;0.000117;5.58E-09;0.0477;1.34E-10;1.17E-10
Flagellate;0.00135;2.70E-08;0.02;6.48E-10;1.35E-09
Flagellate;0.00196;4.32E-08;0.022;1.04E-09;1.96E-09
Flagellate;3.25E-05;1.56E-09;0.048;3.74E-11;3.25E-11
Flagellate;0.000819;1.42E-08;0.0173;3.41E-10;8.19E-10
Flagellate;0.0265;2.28E-07;0.00861;5.47E-09;2.65E-08
Flagellate;0.0155;1.95E-07;0.0126;4.68E-09;1.55E-08
Flagellate;0.000546;1.63E-08;0.0299;3.91E-10;5.46E-10
Flagellate;0.00329;4.61E-08;0.014;1.11E-09;3.29E-09