"","sst","chlo","tmax","dt","pico_biom","nano_biom","micro_biom","phyto_slope","phyto_int","phyto_max"
"1",0,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"2",1,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"3",2,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"4",3,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"5",4,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"6",5,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"7",6,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"8",7,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"9",8,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"10",9,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"11",10,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"12",11,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"13",12,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"14",13,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"15",14,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"16",15,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"17",16,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"18",17,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"19",18,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"20",19,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"21",20,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"22",21,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"23",22,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"24",23,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"25",24,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"26",25,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"27",26,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"28",27,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"29",28,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"30",29,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"31",30,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"32",0,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"33",1,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"34",2,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"35",3,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"36",4,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"37",5,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"38",6,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"39",7,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"40",8,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"41",9,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"42",10,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"43",11,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"44",12,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"45",13,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"46",14,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"47",15,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"48",16,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"49",17,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"50",18,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"51",19,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"52",20,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"53",21,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"54",22,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"55",23,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"56",24,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"57",25,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"58",26,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"59",27,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"60",28,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"61",29,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"62",30,0.0398107170553497,1000,0.01,0.0248300071203824,0.0072782858656512,0.0028862237168021,-1.17764924497978,-4.78071671106234,-8.2
"63",0,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"64",1,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"65",2,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"66",3,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"67",4,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"68",5,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"69",6,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"70",7,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"71",8,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"72",9,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"73",10,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"74",11,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"75",12,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"76",13,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"77",14,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"78",15,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"79",16,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"80",17,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"81",18,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"82",19,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"83",20,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"84",21,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"85",22,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"86",23,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"87",24,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"88",25,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"89",26,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"90",27,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"91",28,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"92",29,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"93",30,0.0501187233627272,1000,0.01,0.0295690096253028,0.00959703168055699,0.00378760137062894,-1.16289995006886,-4.50887584528896,-8.2
"94",0,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"95",1,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"96",2,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"97",3,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"98",4,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"99",5,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"100",6,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"101",7,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"102",8,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"103",9,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"104",10,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"105",11,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"106",12,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"107",13,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"108",14,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"109",15,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"110",16,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"111",17,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"112",18,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"113",19,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"114",20,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"115",21,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"116",22,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"117",23,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"118",24,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"119",25,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"120",26,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"121",27,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"122",28,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"123",29,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"124",30,0.0630957344480193,1000,0.01,0.0349542881184366,0.0127447075121805,0.00502399051166517,-1.14605686290376,-4.21284197801292,-8.2
"125",0,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"126",1,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"127",2,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"128",3,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"129",4,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"130",5,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"131",6,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"132",7,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"133",8,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"134",9,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"135",10,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"136",11,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"137",12,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"138",13,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"139",14,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"140",15,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"141",16,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"142",17,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"143",18,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"144",19,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"145",20,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"146",21,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"147",22,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"148",23,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"149",24,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"150",25,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"151",26,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"152",27,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"153",28,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"154",29,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"155",30,0.0794328234724281,1000,0.01,0.0409505626301456,0.0170245019776056,0.00673919696710702,-1.1270618189278,-3.89273275965238,-8.2
"156",0,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"157",1,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"158",2,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
